SKU,Name,,
LBCAVENDISH,London Blend Cavendish Tobacco Flavour E-Liquid,,
LBCAVENDISH-10ml-3mg,London Blend Cavendish Tobacco Flavour E-Liquid-10ml-3mg,3mg,
LBCAVENDISH-10ml-6mg,London Blend Cavendish Tobacco Flavour E-Liquid-10ml-6mg,6mg,
LBCAVENDISH-10ml-12mg,London Blend Cavendish Tobacco Flavour E-Liquid-10ml-12mg,12mg,
LBCAVENDISH-10ml-18mg,London Blend Cavendish Tobacco Flavour E-Liquid-10ml-18mg,18mg,
LBKENSINGTON,London Blend Kensington Tobacco Flavour E-Liquid,,
LBKENSINGTON-10ml-3mg,London Blend Kensington Tobacco Flavour E-Liquid-10ml-3mg,3mg,
LBKENSINGTON-10ml-6mg,London Blend Kensington Tobacco Flavour E-Liquid-10ml-6mg,6mg,
LBKENSINGTON-10ml-12mg,London Blend Kensington Tobacco Flavour E-Liquid-10ml-12mg,12mg,
LBKENSINGTON-10ml-18mg,London Blend Kensington Tobacco Flavour E-Liquid-10ml-18mg,18mg,
LBKENAPPLETOB,London Blend Kensington with Apple Tobacco Flavour E-Liquid,,
LBKENAPPLETOB-10ml-3mg,London Blend Kensington with Apple Tobacco Flavour E-Liquid-10ml-3mg,3mg,
LBKENAPPLETOB-10ml-6mg,London Blend Kensington with Apple Tobacco Flavour E-Liquid-10ml-6mg,6mg,
LBKENAPPLETOB-10ml-12mg,London Blend Kensington with Apple Tobacco Flavour E-Liquid-10ml-12mg,12mg,
LBKENAPPLETOB-10ml-18mg,London Blend Kensington with Apple Tobacco Flavour E-Liquid-10ml-18mg,18mg,
LBKENCARTOB,London Blend Kensington With Caramel Tobacco Flavour E-Liquid,,
LBKENCARTOB-10ml-3mg,London Blend Kensington With Caramel Tobacco Flavour E-Liquid-10ml-3mg,3mg,
LBKENCARTOB-10ml-6mg,London Blend Kensington With Caramel Tobacco Flavour E-Liquid-10ml-6mg,6mg,
LBKENCARTOB-10ml-12mg,London Blend Kensington With Caramel Tobacco Flavour E-Liquid-10ml-12mg,12mg,
